INFO  - 2017-04-29 17:45:47.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2017-04-29 17:45:47.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2017-04-29 17:45:47.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/icu4j-52.1.jar' to classloader
INFO  - 2017-04-29 17:45:47.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/asm-3.1.jar' to classloader
INFO  - 2017-04-29 17:45:47.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/tika-core-1.4.jar' to classloader
INFO  - 2017-04-29 17:45:47.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2017-04-29 17:45:47.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2017-04-29 17:45:47.563; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2017-04-29 17:45:47.563; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2017-04-29 17:45:47.563; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2017-04-29 17:45:47.564; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2017-04-29 17:45:47.565; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/dist/solr-cell-4.7.2.jar' to classloader
INFO  - 2017-04-29 17:45:47.566; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2017-04-29 17:45:47.566; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2017-04-29 17:45:47.566; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2017-04-29 17:45:47.566; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2017-04-29 17:45:47.567; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
INFO  - 2017-04-29 17:45:47.567; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2017-04-29 17:45:47.567; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2017-04-29 17:45:47.567; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
INFO  - 2017-04-29 17:45:47.568; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/dist/solr-clustering-4.7.2.jar' to classloader
INFO  - 2017-04-29 17:45:47.569; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2017-04-29 17:45:47.569; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2017-04-29 17:45:47.570; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/dist/solr-langid-4.7.2.jar' to classloader
INFO  - 2017-04-29 17:45:47.571; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2017-04-29 17:45:47.571; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2017-04-29 17:45:47.571; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2017-04-29 17:45:47.572; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2017-04-29 17:45:47.572; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/scurrae/Desktop/mall/solr-4.7.2/dist/solr-velocity-4.7.2.jar' to classloader
INFO  - 2017-04-29 17:45:47.652; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2017-04-29 17:45:47.658; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_47
INFO  - 2017-04-29 17:45:47.813; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2017-04-29 17:45:47.820; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2017-04-29 17:45:47.838; org.apache.solr.schema.IndexSchema; [collection1] Schema name=default
WARN  - 2017-04-29 17:45:47.892; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.SortableIntField]. Please consult documentation how to replace it accordingly.
WARN  - 2017-04-29 17:45:47.896; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.SortableLongField]. Please consult documentation how to replace it accordingly.
